縣市別,行業別,媒介物,災害類型,發生日期,死,傷
台中市,營造業,樑,墜落、滾落,2014-1-3,1,0
台中市,營造業,施工架,墜落、滾落,2014-1-4,1,0
桃園縣,營造業,施工架,墜落、滾落,2014-1-4,1,0
台南市,製造業,通路,跌倒,2014-1-7,1,0
嘉義縣,製造業,其他,被夾、被捲,2014-1-8,1,0
桃園縣,批發及零售業,其他(營建機械),墜落、滾落,2014-1-8,1,0
新北市,營造業,開口部分,墜落、滾落,2014-1-9,1,0
嘉義縣,製造業,引火性物質(苯磺酸),火災,2014-1-10,1,1
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-1-10,1,0
新北市,營造業,梯子等(合梯),墜落、滾落,2014-1-11,1,0
嘉義縣,營造業,工作台、踏板,墜落、滾落,2014-1-12,1,0
桃園縣,製造業,工作台、踏板 (移動式升降平台),物體倒塌、崩塌,2014-1-14,1,0
台中市,製造業,屋頂、屋架、樑,墜落、滾落,2014-1-15,1,0
新北市,營造業,動力鏟類設備,被撞,2014-1-15,1,0
新竹縣,營造業,施工架,墜落、滾落,2014-1-16,1,0
宜蘭縣,營造業,施工架,墜落、滾落,2014-1-16,1,0
屏東縣,製造業,混合機及粉碎機,被夾、被捲,2014-1-16,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-1-17,1,0
台中市,營造業,施工架,墜落、滾落,2014-1-18,1,0
雲林縣,營造業,開口部分,墜落、滾落,2014-1-19,1,0
台中市,製造業,屋頂、屋架、樑,墜落、滾落,2014-1-21,1,0
新竹市,支援服務業,開口部分,墜落、滾落,2014-1-24,1,0
台中市,製造業,卡車 (砂石車),被撞,2014-1-24,1,0
桃園縣,營造業,開口部分,墜落、滾落,2014-1-25,1,0
雲林縣,製造業,有害物,與有害物等之接觸,2014-1-26,1,0
高雄市,營造業,營建物,墜落、滾落,2014-1-26,1,0
彰化縣,營造業,屋頂、屋架、樑,墜落、滾落,2014-1-26,1,0
高雄市,製造業,開口部分,墜落、滾落,2014-1-27,1,0
宜蘭縣,製造業,金屬材料,跌倒,2014-1-27,1,0
桃園縣,製造業,有害物(氰化氫),與有害物等之接觸,2014-1-28,1,0
高雄市,營造業,金屬材料,物體飛落,2014-1-29,1,0
宜蘭縣,農林漁牧業,其他,與有害物等之接觸,2014-2-2,1,8
台中市,運輸及倉儲業,工作台、踏板,墜落、滾落,2014-2-6,1,0
桃園縣,營造業,動力鏟類設備,被夾、被捲,2014-2-7,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-2-11,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-2-12,1,0
台北市,營造業,移動式起重機,墜落、滾落,2014-2-13,1,0
嘉義市,批發及零售業,營建物,墜落、滾落,2014-2-20,1,0
高雄市,製造業,工作台、踏板,墜落、滾落,2014-2-21,1,0
桃園縣,營造業,移動式起重機,墜落、滾落,2014-2-22,1,0
新北市,批發及零售業,卡車,被夾、被捲,2014-2-24,1,0
台北市,營造業,施工架,墜落、滾落,2014-2-25,1,0
彰化縣,營造業,施工架,墜落、滾落,2014-2-25,1,0
嘉義市,營造業,梯子,墜落、滾落,2014-2-26,1,0
高雄市,製造業,高空工作車,墜落、滾落,2014-2-27,1,0
嘉義縣,製造業,升降機,墜落、滾落,2014-3-1,1,0
新北市,運輸及倉儲業,其他,感電,2014-3-2,1,0
新北市,製造業,傳動軸,被夾、被捲,2014-3-3,1,0
新北市,營造業,施工架,墜落、滾落,2014-3-3,1,0
高雄市,運輸及倉儲業,其他(貨物),物體倒塌、崩塌,2014-3-3,1,0
桃園縣,營造業,開口部分,墜落、滾落,2014-3-4,1,0
宜蘭縣,營造業,開口部分,墜落、滾落,2014-3-6,1,0
屏東縣,住宿及餐飲業,其他(電動錘),感電,2014-3-8,1,0
台北市,營造業,開口部分,溺斃,2014-3-10,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,2014-3-14,1,0
新北市,營造業,開口部分,墜落、滾落,2014-3-15,1,0
新北市,營造業,金屬材料,物體飛落,2014-3-15,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-3-16,1,0
雲林縣,製造業,輸送帶,被夾、被捲,2014-3-17,1,0
桃園縣,營造業,屋頂、屋架、樑,墜落、滾落,2014-3-17,1,0
台中市,製造業,其他設備(爐、窯等),與高溫、低溫之接觸,2014-3-19,1,0
基隆市,營造業,合梯,墜落、滾落,2014-3-19,1,0
嘉義市,營造業,施工架,墜落、滾落,2014-3-19,1,0
苗栗縣,營造業,支撐架,物體倒塌、崩塌,2014-3-22,1,2
彰化縣,營造業,其他,物體飛落,2014-3-24,1,0
新北市,資訊及通訊傳播業,屋頂,墜落、滾落,2014-3-24,1,0
新北市,營造業,其他(混凝土塊),物體飛落,2014-3-25,1,0
台中市,營造業,手工具,被刺、割、擦傷,2014-3-25,1,0
台北市,電力及燃氣供應業,可燃性氣體,爆炸,2014-3-26,1,3
新北市,營造業,支撐架,墜落、滾落,2014-3-27,1,0
台南市,營造業,開口部分,墜落、滾落,2014-3-29,1,0
高雄市,批發及零售業,屋頂、屋架、樑,墜落、滾落,2014-3-29,1,0
宜蘭縣,農林漁牧業,水,溺斃,2014-3-30,1,0
高雄市,製造業,堆高機,被撞,2014-3-30,1,0
台中市,用水供應及污染整治業,輸送帶,被夾、被捲,2014-3-31,1,0
彰化縣,製造業,其他,物體飛落,2014-4-1,1,0
雲林縣,製造業,開口部分,墜落、滾落,2014-4-2,1,0
南投縣,營造業,汽車,其他交通事故,2014-4-2,1,0
嘉義市,批發及零售業,金屬材料,物體倒塌、崩塌,2014-4-3,1,0
宜蘭縣,運輸及倉儲業,火車,被撞,2014-4-4,1,0
桃園縣,營造業,通路,跌倒,2014-4-4,1,0
苗栗縣,運輸及倉儲業,金屬材料,被撞,2014-4-6,1,0
高雄市,營造業,屋頂,墜落、滾落,2014-4-8,1,0
台中市,電力及燃氣供應業,營建物(電線桿),墜落、滾落,2014-4-9,1,0
苗栗縣,製造業,其他,與高溫、低溫之接觸,2014-4-9,2,2
桃園縣,不動產業,開口部分,墜落、滾落,2014-4-9,1,0
屏東縣,農林漁牧業,其他(汽車),感電,2014-4-10,1,0
桃園縣,資訊及通訊傳播業,其他(電桿),墜落、滾落,2014-4-11,1,0
竹科,批發及零售業,開口部分,墜落、滾落,2014-4-14,1,0
台北市,營造業,合梯,墜落、滾落,2014-4-15,1,0
彰化縣,營造業,移動式起重機,被撞,2014-4-15,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-4-16,1,0
台東縣,營造業,營建物,墜落、滾落,2014-4-17,1,0
桃園縣,製造業,金屬材料(模具),物體飛落,2014-4-18,1,0
雲林縣,用水供應及污染整治業,有害物,與有害物等之接觸,2014-4-19,1,0
台中市,專業、科學及技術服務業,開口部分,墜落、滾落,2014-4-20,1,0
花蓮縣,支援服務業,屋頂、屋架、樑,墜落、滾落,2014-4-21,1,0
彰化縣,製造業,工作台、踏板,墜落、滾落,2014-4-21,1,0
桃園縣,製造業,其他一般動力機械(CNC銑床),被夾、被捲,2014-4-21,1,0
桃園縣,製造業,金屬材料,物體飛落,2014-4-22,1,0
台中市,運輸及倉儲業,堆高機,被撞,2014-4-23,1,0
屏東縣,製造業,金屬材料,物體倒塌、崩塌,2014-4-27,1,0
嘉義縣,製造業,屋頂,墜落、滾落,2014-4-28,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-4-28,1,0
台中市,營造業,營建物,墜落、滾落,2014-4-29,1,0
台北市,營造業,工作台、踏板,墜落、滾落,2014-5-1,1,0
嘉義縣,支援服務業,其他,墜落、滾落,2014-5-1,1,0
桃園縣,批發及零售業,開口部分,墜落、滾落,2014-5-2,1,0
屏東縣,礦業及土石採取業,其他動力搬運機械(曳引車),被撞,2014-5-3,1,0
雲林縣,支援服務業,其他(電動大門),被夾、被捲,2014-5-3,1,0
高雄市,製造業,開口部分,墜落、滾落,2014-5-5,1,0
新竹縣,營造業,動力鏟類設備,墜落、滾落,2014-5-10,1,0
台中市,營造業,施工架,墜落、滾落,2014-5-11,1,0
屏東縣,農林漁牧業,木材,物體飛落,2014-5-11,1,0
高雄市,製造業,有害物(丙烯?),與有害物等之接觸,2014-5-12,1,0
彰化縣,製造業,動力機械,感電,2014-5-12,1,0
高雄市,營造業,有害物,與有害物等之接觸,2014-5-14,1,0
高雄市,營造業,營建物,墜落、滾落,2014-5-14,1,0
苗栗縣,製造業,開口部分,墜落、滾落,2014-5-15,1,0
基隆市,營造業,移動式起重機,物體倒塌、崩塌,2014-5-15,1,0
高雄市,營造業,開口部分,墜落、滾落,2014-5-17,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-5-18,1,0
花蓮縣,用水供應及污染整治業,其他(土方車),被夾、被捲,2014-5-19,1,0
桃園縣,營造業,其他(破碎機),感電,2014-5-19,1,0
新竹縣,公共行政及國防；強制性社會安全,卡車,被撞,2014-5-20,1,0
桃園縣,公共行政及國防；強制性社會安全,汽車,公路交通事故,2014-5-27,1,1
桃園縣,製造業,營建物,墜落、滾落,2014-5-28,1,0
桃園縣,支援服務業,卡車,墜落、滾落,2014-5-28,1,0
桃園縣,製造業,其他,感電,2014-5-29,1,0
花蓮縣,支援服務業,汽車,被撞,2014-5-31,1,0
台中市,製造業,其他(虎板),物體飛落,2014-6-1,1,0
桃園縣,不動產業,開口部分,墜落、滾落,2014-6-1,1,0
桃園縣,製造業,屋頂、屋架、樑,墜落、滾落,2014-6-3,1,0
台中市,營造業,營建物,墜落、滾落,2014-6-4,1,0
台中市,營造業,營建物,物體倒塌、崩塌,2014-6-5,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,2014-6-5,1,0
基隆市,資訊及通訊傳播業,其他(電桿),墜落、滾落,2014-6-6,1,0
桃園縣,製造業,屋頂,墜落、滾落,2014-6-7,1,0
屏東縣,製造業,電弧熔接,感電,2014-6-7,1,0
宜蘭縣,資訊及通訊傳播業,其他,感電,2014-6-9,1,0
苗栗縣,營造業,其他(排泥泵浦),物體飛落,2014-6-10,1,0
南投縣,營造業,施工架,墜落、滾落,2014-6-10,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,2014-6-12,1,0
宜蘭縣,營造業,工作台,墜落、滾落,2014-6-13,1,0
台中市,營造業,開口部分,墜落、滾落,2014-6-15,1,0
台中市,營造業,有害物(硫化氫),與有害物等之接觸,2014-6-16,1,1
高雄市,不動產業,開口部分,墜落、滾落,2014-6-17,1,0
桃園縣,製造業,其他,被夾、被捲,2014-6-17,1,0
宜蘭縣,營造業,屋頂、屋架、樑,墜落、滾落,2014-6-18,1,0
新北市,農林漁牧業,水,溺斃,2014-6-18,1,0
桃園縣,製造業,其他(機械設備),被夾、被捲,2014-6-20,1,0
新竹縣,不動產業,梯子等,物體倒塌、崩塌,2014-6-21,1,0
台北市,營造業,施工架,墜落、滾落,2014-6-22,1,0
屏東縣,營造業,支撐架,墜落、滾落,2014-6-22,1,0
高雄市,製造業,金屬材料,被撞,2014-6-26,1,0
新北市,營造業,開口部分,墜落、滾落,2014-6-28,1,0
新竹縣,批發及零售業,火藥,爆炸,2014-6-28,1,2
桃園縣,農林漁牧業,水,溺斃,2014-6-28,1,0
新竹縣,營造業,開口部分,墜落、滾落,2014-7-1,1,0
桃園縣,營造業,開口部分,墜落、滾落,2014-7-1,1,0
台中市,營造業,營建物(鋼筋),物體倒塌、崩塌,2014-7-1,1,0
新竹市,營造業,水,溺斃,2014-7-3,1,0
桃園縣,營造業,輸配電路線,感電,2014-7-4,1,0
新北市,運輸及倉儲業,其他(已包裝貨物),被夾、被捲,2014-7-5,1,0
高雄市,製造業,堆高機,被撞,2014-7-5,1,0
經加處,營造業,輸配電線路,感電,2014-7-6,1,0
新北市,營造業,屋頂、屋架、樑,墜落、滾落,2014-7-6,1,0
台中市,運輸及倉儲業,火車,被撞,2014-7-7,2,0
台北市,營造業,營建物,墜落、滾落,2014-7-8,1,0
宜蘭縣,營造業,屋頂、屋架、樑,墜落、滾落,2014-7-8,1,0
桃園縣,用水供應及污染整治業,動力鏟類設備,被撞,2014-7-9,1,0
苗栗縣,營造業,吊卡車,其他交通事故,2014-7-10,1,0
桃園縣,營造業,開口部分,墜落、滾落,2014-7-10,1,0
雲林縣,營造業,營建物,物體倒塌、崩塌,2014-7-10,1,1
桃園縣,營造業,其他,感電,2014-7-10,1,0
台中市,營造業,開口部分,墜落、滾落,2014-7-10,1,0
台南市,營造業,開口部分,墜落、滾落,2014-7-14,1,0
桃園縣,製造業,營建物,被撞,2014-7-14,1,0
台中市,營造業,開口部分,墜落、滾落,2014-7-14,1,0
台南市,資訊及通訊傳播業,其他(電桿),墜落、滾落,2014-7-14,1,0
高雄市,製造業,輸送帶,被夾、被捲,2014-7-15,1,0
台中市,營造業,施工架,墜落、滾落,2014-7-15,1,0
台中市,運輸及倉儲業,貨車,墜落、滾落,2014-7-16,1,0
高雄市,批發及零售業,電弧熔接,感電,2014-7-16,1,0
花蓮縣,電力及燃氣供應業,汽車、公共汽車,公路交通事故,2014-7-16,1,0
經加處,營造業,施工架,墜落、滾落,2014-7-17,1,0
南投縣,營造業,動力鏟類設備(怪手),被撞,2014-7-18,1,0
高雄市,製造業,電弧熔接,感電,2014-7-18,1,0
台南市,營造業,水,溺斃,2014-7-21,1,0
桃園縣,營造業,金屬材料,跌倒,2014-7-21,1,0
台北市,營造業,施工架,墜落、滾落,2014-7-22,1,0
台中市,製造業,其他,感電,2014-7-22,1,0
台中市,營造業,屋頂、屋架、樑,墜落、滾落,2014-7-24,1,0
新北市,製造業,金屬材料,物體飛落,2014-7-26,1,0
花蓮縣,製造業,屋頂、屋架、樑(塑膠採光浪板),墜落、滾落,2014-7-26,1,0
嘉義縣,公共行政及國防；強制性社會安全,其他,其他交通事故,2014-7-26,1,0
新北市,農林漁牧業,其他(蟹籠繩索),其他,2014-7-27,1,0
花蓮縣,電力及燃氣供應業,其他,物體飛落,2014-7-27,1,0
台中市,製造業,屋頂(塑膠採光浪板),墜落、滾落,2014-7-28,1,0
桃園縣,營造業,營建物(磚牆),物體倒塌、崩塌,2014-7-29,1,0
桃園縣,製造業,營建物(空調箱),物體飛落,2014-7-29,1,0
彰化縣,營造業,施工架,墜落、滾落,2014-7-29,1,0
台中市,製造業,輸配電線路,感電,2014-7-31,1,0
高雄市,製造業,金屬材料,物體倒塌、崩塌,2014-8-1,1,0
新北市,用水供應及污染整治業,營建物,墜落、滾落,2014-8-1,1,0
桃園縣,營造業,通路,跌倒,2014-8-2,1,0
桃園縣,營造業,施工架,墜落、滾落,2014-8-3,1,0
高雄市,營造業,梯子等,墜落、滾落,2014-8-3,1,0
台中市,運輸及倉儲業,卡車,墜落、滾落,2014-8-3,1,0
高雄市,製造業,堆高機,物體倒塌、崩塌,2014-8-4,1,0
彰化縣,製造業,屋頂(塑膠採光罩),墜落、滾落,2014-8-5,1,0
桃園縣,用水供應及污染整治業,營建用機械(動力鏟類設備),被撞,2014-8-5,1,0
彰化縣,營造業,施工架,墜落、滾落,2014-8-5,1,0
苗栗縣,農林漁牧業,水,溺斃,2014-8-5,1,0
苗栗縣,營造業,電弧熔接,感電,2014-8-8,1,0
彰化縣,製造業,屋頂,墜落、滾落,2014-8-8,1,0
南科,營造業,升降機,墜落、滾落,2014-8-9,1,0
新北市,營造業,高低溫環境,與高溫、低溫之接觸,2014-8-11,1,0
台中市,營造業,營建物,墜落、滾落,2014-8-12,1,0
高雄市,製造業,其他(預拌混凝土車),被撞,2014-8-15,1,0
桃園縣,製造業,其他一般動力機械(摺床),被夾、被捲,2014-8-15,1,0
新北市,營造業,其他,感電,2014-8-16,1,0
桃園縣,其他服務業,其他(一般動力機械),衝撞,2014-8-16,1,0
台中市,電力及燃氣供應業,輸配電線路,感電,2014-8-19,1,0
宜蘭縣,營造業,通路,跌倒,2014-8-19,1,0
嘉義縣,營造業,屋頂、屋架、樑,墜落、滾落,2014-8-19,1,0
苗栗縣,礦業及土石採取業,水,溺斃,2014-8-22,2,0
基隆市,運輸及倉儲業,已包裝貨物,物體倒塌、崩塌,2014-8-22,1,0
彰化縣,製造業,電力設備,感電,2014-8-23,1,0
台北市,營造業,木材,物體倒塌、崩塌,2014-8-23,1,0
台中市,營造業,屋頂、屋架、樑,墜落、滾落,2014-8-23,1,0
苗栗縣,運輸及倉儲業,已包裝貨物,物體倒塌、崩塌,2014-8-27,1,0
台中市,製造業,待查,其他,2014-8-28,1,0
桃園縣,農林漁牧業,水,溺斃,2014-8-29,1,0
台中市,營造業,其他(預拌混凝土車),墜落、滾落,2014-8-30,1,0
新北市,營造業,梯子等,墜落、滾落,2014-9-1,1,0
宜蘭縣,製造業,其他,其他,2014-9-2,1,0
高雄市,製造業,其他,被撞,2014-9-3,1,0
苗栗縣,製造業,營建物(管架),墜落、滾落,2014-9-3,1,0
宜蘭縣,住宿及餐飲業,輸配電線路,感電,2014-9-3,1,0
雲林縣,製造業,屋頂、屋架、樑,墜落、滾落,2014-9-3,1,0
新北市,營造業,梯子等,感電,2014-9-3,1,0
台中市,製造業,固定式起重機,衝撞,2014-9-3,1,0
嘉義縣,製造業,屋頂、屋架、樑,墜落、滾落,2014-9-4,1,0
台中市,公共行政及國防；強制性社會安全,其他(垃圾車),公路交通事故,2014-9-5,1,1
金門縣,營造業,輸配電線路,感電,2014-9-6,1,0
台中市,營造業,採光罩,墜落、滾落,2014-9-7,1,0
台南市,公共行政及國防；強制性社會安全,高低溫環境,與高溫、低溫之接觸,2014-9-10,1,0
屏東縣,營造業,火車,鐵路交通事故,2014-9-10,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-9-11,1,0
台中市,營造業,汽車,公路交通事故,2014-9-11,1,0
高雄市,營造業,施工架,墜落、滾落,2014-9-11,1,0
高雄市,營造業,可燃性氣體,火災,2014-9-14,1,0
桃園縣,營造業,輸配電線路,感電,2014-9-15,1,0
台中市,公共行政及國防；強制性社會安全,工作台、踏板,墜落、滾落,2014-4-25,1,0
彰化縣,製造業,待查,其他,2014-9-17,1,0
台中市,營造業,屋頂、屋架、樑,墜落、滾落,2014-9-20,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2014-9-26,1,0
桃園縣,營造業,屋頂、屋架、樑,墜落、滾落,2014-9-26,1,0
台南市,專業、科學及技術服務業,堆高機,物體倒塌、崩塌,2014-9-29,1,0
南投縣,製造業,金屬材料(高溫鐵水),與高溫、低溫之接觸,2014-10-1,1,0
新北市,營造業,營建物,物體飛落,2014-10-1,1,0
台北市,支援服務業,施工架,物體倒塌、崩塌,2014-10-2,1,0
新北市,運輸及倉儲業,已包裝貨物,墜落、滾落,2014-10-3,1,0
新北市,營造業,汽車,公路交通事故,2014-10-4,1,0
