縣市別,行業別,媒介物,災害類型,發生日期,死,傷
新竹縣,電力及燃氣供應業,動力鏟類設備,被撞,2013-1-4,1,0
台南市,製造業,離子清洗機,被夾、被捲,2013-1-4,1,0
高雄市,營造業,施工架,墜落、滾落,2013-1-4,1,0
台中市,營造業,施工架,墜落、滾落,2013-1-5,1,0
台南市,營造業,開口部分,墜落、滾落,2013-1-5,1,0
高雄市,製造業,開口部分,墜落、滾落,2013-1-5,1,0
高雄市,製造業,合梯,墜落、滾落,2013-1-6,1,0
台中市,營造業,屋頂,墜落、滾落,2013-1-7,1,0
嘉義縣,其他服務業,梯子,墜落、滾落,2013-1-7,1,0
台北市,營造業,合梯,墜落、滾落,2013-1-7,1,0
台中市,營造業,施工架,墜落、滾落,2013-1-8,1,0
桃園縣,製造業,堆高機,被夾、被捲,2013-1-8,1,0
新竹縣,製造業,生料結塊,物體飛落,2013-1-11,1,0
台北市,營造業,開口部分,墜落、滾落,2013-1-12,1,0
高雄市,製造業,電氣箱,物體倒塌、崩塌,2013-1-14,1,0
高雄市,營造業,施工架,墜落、滾落,2013-1-14,1,0
台南市,營造業,梯子,墜落、滾落,2013-1-15,1,0
台南市,批發及零售業,其他危險物,爆炸,2013-1-18,1,1
高雄市,電力及燃氣供應業,開口部分,墜落、滾落,2013-1-18,1,0
新北市,營造業,屋頂、屋架、樑,墜落、滾落,2013-1-19,1,0
高雄市,營造業,施工架,墜落、滾落,2013-1-20,1,0
高雄市,營造業,施工架,墜落、滾落,2013-1-22,1,0
高雄市,製造業,液化石油氣,火災,2013-1-22,1,0
台東縣,營造業,施工架,墜落、滾落,2013-1-23,1,0
台中市,營造業,其他營建用機械(挖土機),墜落、滾落,2013-1-24,1,0
高雄市,營造業,卡車,其他交通事故,2013-1-24,1,0
桃園縣,製造業,施工架,墜落、滾落,2013-1-26,1,0
高雄市,製造業,挖土機,被撞,2013-1-29,1,0
彰化縣,營造業,動力鏟類設備,被撞,2013-1-30,1,0
台南市,營造業,屋頂,墜落、滾落,2013-1-30,1,0
屏東縣,營造業,屋頂,墜落、滾落,2013-1-31,1,1
高雄市,運輸及倉儲業,未包裝貨物,墜落、滾落,2013-2-5,1,0
台中市,運輸及倉儲業,貨車,被撞,2013-2-6,1,0
新北市,運輸及倉儲業,門檻,衝撞,2013-2-7,1,1
宜蘭縣,營造業,易燃液體,火災,2013-2-7,1,2
台中市,營造業,開口部分,墜落、滾落,2013-2-8,1,0
桃園縣,製造業,其他(分條機),被夾、被捲,2013-2-8,1,0
新北市,製造業,可燃性氣體,爆炸,2013-2-12,0,1
台中市,營造業,梯子等,衝撞,2013-2-14,1,0
屏東縣,營造業,移動式起重機,墜落、滾落,2013-2-17,1,0
新北市,製造業,化學設備,爆炸,2013-2-17,1,0
台南市,營造業,鋼鈑,物體倒塌、崩塌,2013-2-18,1,0
嘉義縣,製造業,輸送帶,被夾、被捲,2013-2-20,1,0
新北市,製造業,卡車,墜落、滾落,2013-2-21,1,0
新竹市,營造業,開口部分,墜落、滾落,2013-2-23,1,0
台北市,營造業,支撐架,物體倒塌、崩塌,2013-2-24,1,0
高雄市,營造業,營建物,墜落、滾落,2013-2-24,1,0
新北市,營造業,開口部分,墜落、滾落,2013-2-26,1,0
雲林縣,營造業,施工架,物體倒塌、崩塌,2013-2-26,1,0
花蓮縣,營造業,動力鏟類設備,被撞,2013-2-27,1,0
雲林縣,製造業,輸送機,被夾、被捲,2013-3-1,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2013-3-1,1,0
桃園縣,製造業,傳動輪,被夾、被捲,2013-3-2,1,0
南投縣,營造業,卡車,被撞,2013-3-2,1,0
嘉義縣,營造業,營建物,墜落、滾落,2013-3-4,1,0
台東縣,營造業,已包裝貨物,被撞,2013-3-4,1,0
台中市,製造業,開口部分,墜落、滾落,2013-3-5,1,0
屏東縣,用水供應及污染整治業,水,溺斃,2013-3-5,1,0
新竹縣,營造業,施工架,墜落、滾落,2013-3-6,1,0
台南市,營造業,屋頂,墜落、滾落,2013-3-6,1,0
高雄市,營造業,梯子等,墜落、滾落,2013-3-6,1,0
高雄市,運輸及倉儲業,移動式起重機,墜落、滾落,2013-3-10,1,0
南投縣,運輸及倉儲業,帶運機,墜落、滾落,2013-3-14,1,0
新北市,營造業,屋頂,墜落、滾落,2013-3-14,1,0
台東縣,礦業及土石採取業,碎石機,被夾、被捲,2013-3-16,1,0
苗栗縣,製造業,抽砂機引擎,物體倒塌、崩塌,2013-3-16,1,0
