"","county","industry","medium","injury_type","injury_date","death","injuries"
"1","新竹縣","電力及燃氣供應業","動力鏟類設備","被撞",2013-01-04,1,0
"2","台南市","製造業","離子清洗機","被夾、被捲",2013-01-04,1,0
"3","高雄市","營造業","施工架","墜落、滾落",2013-01-04,1,0
"4","台中市","營造業","施工架","墜落、滾落",2013-01-05,1,0
"5","台南市","營造業","開口部分","墜落、滾落",2013-01-05,1,0
"6","高雄市","製造業","開口部分","墜落、滾落",2013-01-05,1,0
"7","高雄市","製造業","合梯","墜落、滾落",2013-01-06,1,0
"8","台中市","營造業","屋頂","墜落、滾落",2013-01-07,1,0
"9","嘉義縣","其他服務業","梯子","墜落、滾落",2013-01-07,1,0
"10","台北市","營造業","合梯","墜落、滾落",2013-01-07,1,0
"11","台中市","營造業","施工架","墜落、滾落",2013-01-08,1,0
"12","桃園縣","製造業","堆高機","被夾、被捲",2013-01-08,1,0
"13","新竹縣","製造業","生料結塊","物體飛落",2013-01-11,1,0
"14","台北市","營造業","開口部分","墜落、滾落",2013-01-12,1,0
"15","高雄市","製造業","電氣箱","物體倒塌、崩塌",2013-01-14,1,0
"16","高雄市","營造業","施工架","墜落、滾落",2013-01-14,1,0
"17","台南市","營造業","梯子","墜落、滾落",2013-01-15,1,0
"18","台南市","批發及零售業","其他危險物","爆炸",2013-01-18,1,1
"19","高雄市","電力及燃氣供應業","開口部分","墜落、滾落",2013-01-18,1,0
"20","新北市","營造業","屋頂、屋架、樑","墜落、滾落",2013-01-19,1,0
"21","高雄市","營造業","施工架","墜落、滾落",2013-01-20,1,0
"22","高雄市","營造業","施工架","墜落、滾落",2013-01-22,1,0
"23","高雄市","製造業","液化石油氣","火災",2013-01-22,1,0
"24","台東縣","營造業","施工架","墜落、滾落",2013-01-23,1,0
"25","台中市","營造業","其他營建用機械(挖土機)","墜落、滾落",2013-01-24,1,0
"26","高雄市","營造業","卡車","其他交通事故",2013-01-24,1,0
"27","桃園縣","製造業","施工架","墜落、滾落",2013-01-26,1,0
"28","高雄市","製造業","挖土機","被撞",2013-01-29,1,0
"29","彰化縣","營造業","動力鏟類設備","被撞",2013-01-30,1,0
"30","台南市","營造業","屋頂","墜落、滾落",2013-01-30,1,0
"31","屏東縣","營造業","屋頂","墜落、滾落",2013-01-31,1,1
